filename,upload_date,process_date
Source data 1SensorDeductionsL312112023.xlsx,2024-03-10 16:44:24,
DeductionExceptions L4 01132024.xlsx,2024-03-10 16:44:24,
DeductionExceptions L4 01122024.xlsx,2024-03-10 16:44:24,
DeductionExceptions L4 01112024.xlsx,2024-03-10 16:44:24,
DeductionExceptions L4 01102024.xlsx,2024-03-10 16:44:24,
DeductionExceptions L4 01092024.xlsx,2024-03-10 16:44:25,
DeductionExceptions L4 01082024.xlsx,2024-03-10 16:44:25,
2nd Source data SensorDeductionsL312112023.xlsx,2024-03-10 16:44:25,
Source data 1SensorDeductionsL312112023.xlsx,2024-03-10 17:50:34,
DeductionExceptions L4 01132024.xlsx,2024-03-10 17:50:34,
DeductionExceptions L4 01122024.xlsx,2024-03-10 17:50:34,
DeductionExceptions L4 01112024.xlsx,2024-03-10 17:50:35,
DeductionExceptions L4 01102024.xlsx,2024-03-10 17:50:35,
DeductionExceptions L4 01092024.xlsx,2024-03-10 17:50:35,
DeductionExceptions L4 01082024.xlsx,2024-03-10 17:50:36,
2nd Source data SensorDeductionsL312112023.xlsx,2024-03-10 17:50:36,
Source data 1SensorDeductionsL312112023.xlsx,2024-03-10 17:58:58,
DeductionExceptions L4 01132024.xlsx,2024-03-10 17:58:58,
DeductionExceptions L4 01122024.xlsx,2024-03-10 17:58:58,
DeductionExceptions L4 01112024.xlsx,2024-03-10 17:58:59,
DeductionExceptions L4 01102024.xlsx,2024-03-10 17:58:59,
DeductionExceptions L4 01092024.xlsx,2024-03-10 17:58:59,
DeductionExceptions L4 01082024.xlsx,2024-03-10 17:59:00,
2nd Source data SensorDeductionsL312112023.xlsx,2024-03-10 17:59:00,
Source data 1SensorDeductionsL312112023.xlsx,2024-03-10 18:00:49,
DeductionExceptions L4 01132024.xlsx,2024-03-10 18:00:49,
DeductionExceptions L4 01122024.xlsx,2024-03-10 18:00:50,
DeductionExceptions L4 01112024.xlsx,2024-03-10 18:00:50,
DeductionExceptions L4 01102024.xlsx,2024-03-10 18:00:50,
DeductionExceptions L4 01092024.xlsx,2024-03-10 18:00:51,
DeductionExceptions L4 01082024.xlsx,2024-03-10 18:00:51,
2nd Source data SensorDeductionsL312112023.xlsx,2024-03-10 18:00:51,
